Policy_id,Source_des,Title,Description,Keywords,Note,Year_from,Year_to,Goals,Subgoals,Ultimate_beneficiaries,Instruments,Primary_targets,Countries,Geoscopes,Formulators,links,publications,search_text,nutrition_relevant
110,Nourishing,Advertising of Food and Beverages addressed to Children - PAOS code,Code of self-regulation of food and drink advertisement aimed at minors for prevention of obesity and health,obesity; overweight; malnutrition; health; WHO; children; beverage; soda; drink; media; advertisement;,,2005.0,2005.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,Media,Spain,National,Spanish Ministry of Health and Consumer Affairs,https://www.aesan.gob.es/AECOSAN/docs/documentos/nutricion/Codigo_PAOS_2005_ingles.pdf,,advertising of food and beverages addressed to children - paos code code of self-regulation of food and drink advertisement aimed at minors for prevention of obesity and health obesity; overweight; malnutrition; health; who; children; beverage; soda; drink; media; advertisement; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
124,SCAR,Agri-tech catalyst,"Funding for collaborative projects, taking innovative ideas from any sector or discipline to tackle challenges in agriculture. Agri-tech Catalyst funding scheme helps businesses and researchers commercialise their research and develop innovative solutions to global challenges in the agri-tech sector.",innovation; developing countries; intensification; sustainable; aquaculture; crop; livestock; non-food; security; nutrition; development; processing; aid; incentive; fund; grant;,,2015.0,2015.0,Equitable outcomes and conditions,Global FNS,Third countries,R&I economic,Industry-based research,UK,National,UK Department for International Development,https://www.gov.uk/international-development-funding/the-agri-tech-catalyst,,"agri-tech catalyst funding for collaborative projects, taking innovative ideas from any sector or discipline to tackle challenges in agriculture. agri-tech catalyst funding scheme helps businesses and researchers commercialise their research and develop innovative solutions to global challenges in the agri-tech sector. innovation; developing countries; intensification; sustainable; aquaculture; crop; livestock; non-food; security; nutrition; development; processing; aid; incentive; fund; grant; equitable outcomes and conditions global fns",True
506,Nourishing,Awards for good measures in the Partnership for a Healthier Diet,"In 2020, the Minister of Health and Care Services has announced two awards for good measures in the Partnership for a Healthier Diet (see ""S–Improve nutritional quality of the whole food supply""). Awards are given for two categories: one award for healthier products; and one award for healthier marketing. Criteria for the healthier product awards are innovation, reformulation, process improvement, portion and pack sizes, or development of new products. Criteria for the healthier marketing awards are measures to promote healthier alternatives and options to influence consumer behaviour around health and diet. The measures includes communication and marketing strategies, pricing instruments and product placement in stores, kiosks and restaurants.",nutrition; innovation; health; food supply,,2020.0,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Society at large,R&I economic,Consumers |  Food industry |  Food services |,Norway,National,Norwegian Ministry of Health and Care Services,https://www.helsedirektoratet.no/english/partnership-for-a-healthier-diet,,"awards for good measures in the partnership for a healthier diet in 2020, the minister of health and care services has announced two awards for good measures in the partnership for a healthier diet (see ""s–improve nutritional quality of the whole food supply""). awards are given for two categories: one award for healthier products; and one award for healthier marketing. criteria for the healthier product awards are innovation, reformulation, process improvement, portion and pack sizes, or development of new products. criteria for the healthier marketing awards are measures to promote healthier alternatives and options to influence consumer behaviour around health and diet. the measures includes communication and marketing strategies, pricing instruments and product placement in stores, kiosks and restaurants. nutrition; innovation; health; food supply balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
83,Nourishing,Ban on selling Energy Drinks to Minors,Law that prohibits the sale of energy drinks to children under the age of 18 years .,WHO; non-communicable diseases; NCD; health; breastfeeding; school; children; obesity; soda;,,2014.0,2014.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,Food industry,Lithuania,National,Lithuanian Ministry of Health,https://www.urm.lt/default/en/news/lithuania-to-ban-sale-of-energy-drinks-to-minors-the-times-of-india-oct-15-2014,,ban on selling energy drinks to minors law that prohibits the sale of energy drinks to children under the age of 18 years . who; non-communicable diseases; ncd; health; breastfeeding; school; children; obesity; soda; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
84,Nourishing,"Basic Requirements and Certain Restrictions of Commercial Advertising Activities (Act XLVIII, article 8)","Advertising activities shall be prohibited in a dormitory which provides primary care and pre-school child care facilities, kindergarten, elementary school and primary school pupils.",self-regulation; health; minors; school; soda; health; junk; processed;,,2008.0,2008.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Education sector,Hungary,National,Hungarian Government,https://www.gvh.hu/data/cms998396/jogihatter_jogszab_gyujt_Grtv_2008_m%C3%B3d_09_4_jav.pdf,,"basic requirements and certain restrictions of commercial advertising activities (act xlviii, article 8) advertising activities shall be prohibited in a dormitory which provides primary care and pre-school child care facilities, kindergarten, elementary school and primary school pupils. self-regulation; health; minors; school; soda; health; junk; processed; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
24,Nourishing,Beverage recommendations,"Recommendations for beverages for children and adolescents, adults and older people.",alcohol; water; coffee; tea; soda; drink; juice; milk; health; diet;,,2009.0,2009.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Media,Finland,National,Finnish national nutrition council,https://www.ruokavirasto.fi/en/foodstuffs/healthy-diet/nutrition-and-food-recommendations/,,"beverage recommendations recommendations for beverages for children and adolescents, adults and older people. alcohol; water; coffee; tea; soda; drink; juice; milk; health; diet; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
197,SCAR,Bilateral Trust Fund with the FAO,The aim of the projects is to assist states in ensuring a qualitatively and quantitatively balanced diet of each individual.,food security; ONU; United Nations; agriculture; rural; payment; grant; aid; incentive;,,2002.0,2002.0,Equitable outcomes and conditions,Global FNS,Third countries,R&I economic,Research sector,Germany,National,German Federal Ministry of Food and Agriculture,https://www.bmel.de/DE/Landwirtschaft/Welternaehrung/_Texte/Ernaehrungssicherungsprojekte.html,,bilateral trust fund with the fao the aim of the projects is to assist states in ensuring a qualitatively and quantitatively balanced diet of each individual. food security; onu; united nations; agriculture; rural; payment; grant; aid; incentive; equitable outcomes and conditions global fns,True
42,Nourishing,Catering standards for schools,"Catering standards for pre-schools, secondary schools and children's social care institutions.",infant; diet; nutrition; canteen; school meal; food services; recommendation;,,2011.0,2011.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,School food services,Lithuania,National,Lithuanian Ministry of Health,https://www.e-tar.lt/portal/lt/legalAct/TAR.3B14F18E2B3C/YIUsixwNLj,,"catering standards for schools catering standards for pre-schools, secondary schools and children's social care institutions. infant; diet; nutrition; canteen; school meal; food services; recommendation; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
27,Nourishing,Change4life & Start4life campaigns,Health program for preventing childhood obesity.,sugar; diet; breakfast; parents; fat; salt; processed; health;,,2009.0,2009.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Media,UK,National,UK National health service,https://www.gov.uk/government/news/new-change4life-campaign-encourages-parents-to-be-food-smart |  https://www.nhs.uk/change4life |  https://www.nhs.uk/start4life | ,,change4life & start4life campaigns health program for preventing childhood obesity. sugar; diet; breakfast; parents; fat; salt; processed; health; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
20,Nourishing,Change4Life convenience stores programme,"intervention to improve provision of fresh fruit and vegetables in convenience stores in deprived, urban areas in England with poor existing retail access to fresh fruit and vegetables. Convenience stores received support to help them redesign the layout of the store",food desert; access; availability; deprived areas; supermarket; purchase; consumers; consumption;,,2008.0,2008.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Income support,Food industry,UK,National,"English Department of Health, Association of Convenience Stores",https://www.gov.uk/government/publications/change4life-convenience-stores-evaluation-report,,"change4life convenience stores programme intervention to improve provision of fresh fruit and vegetables in convenience stores in deprived, urban areas in england with poor existing retail access to fresh fruit and vegetables. convenience stores received support to help them redesign the layout of the store food desert; access; availability; deprived areas; supermarket; purchase; consumers; consumption; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
46,Nourishing,"Charges on chocolate, sugar confectionery and sugar, Tax on non-alcoholic beverages (3.16, 3.17, 3.4)",This regulation applies to fees levied pursuant to the Act of 19 May 1933 No. 11 on excise duties.,soda; drink; disincentive; tax; processed; health;,,2001.0,2020.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Fiscal policy,Food industry,Norway,National,Norwegian Ministry of Finance,https://lovdata.no/dokument/SF/forskrift/2001-12-11-1451?q=s%C3%A6ravgiftsforskriften#KAPITTEL_3 |  https://www.skatteetaten.no/en/business-and-organisation/vat-and-duties/excise-duties/about-the-excise-duties/sugar/ |  https://www.skatteetaten.no/globalassets/bedrift-og-organisasjon/avgifter/saravgifter/sukker/2020-sukker-ii-juli.pdf | ,,"charges on chocolate, sugar confectionery and sugar, tax on non-alcoholic beverages (3.16, 3.17, 3.4) this regulation applies to fees levied pursuant to the act of 19 may 1933 no. 11 on excise duties. soda; drink; disincentive; tax; processed; health; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
93,Nourishing,Charters of voluntary commitments of nutritional progress,validation by the public authorities of voluntary commitments taken by a company of the food field mainly concerned with the improvement of the nutritional quality of food products that it puts on the market.,self-regulation; salt; sugar; fat; fiber; consumer; diet; sale;,,2013.0,2013.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Food and agricultural standards (voluntary),Food industry,France,National,French ministry of solidarity and health,https://www.oqali.fr/Publications-Oqali/Etudes-transversales,,charters of voluntary commitments of nutritional progress validation by the public authorities of voluntary commitments taken by a company of the food field mainly concerned with the improvement of the nutritional quality of food products that it puts on the market. self-regulation; salt; sugar; fat; fiber; consumer; diet; sale; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
14,Nourishing,Children's commercial communications code,"It deals with advertising, sponsorship, product placement and other forms of commercial promotion aimed at children or broadcast in or around children’s programming.  It includes rules on the promotion to children of food that is high in fat, salt or sugar.",advertisement; media; television; children; awareness; knowledge; health;,,2013.0,2013.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,Media,Ireland,National,Broadcasting Authority of Ireland,http://www.bai.ie/en/bai-issues-rules-on-food-advertising-to-children/ |  http://www.bai.ie/en/codes-standards/#al-block-5 | ,,"children's commercial communications code it deals with advertising, sponsorship, product placement and other forms of commercial promotion aimed at children or broadcast in or around children’s programming.  it includes rules on the promotion to children of food that is high in fat, salt or sugar. advertisement; media; television; children; awareness; knowledge; health; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
2,Nourishing,Choices logo,the voluntary logo identifies healthier options in each food category,WHO; obesity; NCDs; undernourishment; diet; health; guidelines;,,2006.0,2006.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Labelling measure,Food industry,Belgium |  Czech Republic |  Netherlands |  Poland |,Supra-national,Choices International Foundation,https://www.choicesprogramme.org/,,choices logo the voluntary logo identifies healthier options in each food category who; obesity; ncds; undernourishment; diet; health; guidelines; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
510,Nourishing,Clinical Guidance for Obesity Prevention,"Health professionals are expected to fully take into account the Clinical Guidance for Obesity Prevention (CG43), published by National Institute for Health and Care Excellence (NICE) in 2006 and last updated in 2015 (CG189). According to this guidance, all health professionals should discuss weight, diet and activity with people at times when weight gain is more likely, such as during and after pregnancy, the menopause and while stopping smoking. Further, all actions aimed at preventing excess weight gain and improving diet (including reducing energy intake) and activity levels in children and young people should actively involve parents and carers. Interventions to improve diet (and reduce energy intake) should be multicomponent (for example, including dietary modification, targeted advice, family involvement and goal setting), be tailored to the individual and provide ongoing support. Interventions may include promotional, awareness-raising activities, but these should be part of a long-term, multicomponent intervention rather than one-off activities (and should be accompanied by targeted follow-up with different population groups).",prevention; obesity; diet; physical activity,,2006.0,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Society at large |  Consumers |,Information measure,Public Authorities,UK |  UK-Wales |,National,NATIONAL INSTITUTE FOR HEALTH AND CARE EXCELLENCE (NICE),https://www.nice.org.uk/guidance/cg43/resources/obesity-prevention-pdf-975445344709,,"clinical guidance for obesity prevention health professionals are expected to fully take into account the clinical guidance for obesity prevention (cg43), published by national institute for health and care excellence (nice) in 2006 and last updated in 2015 (cg189). according to this guidance, all health professionals should discuss weight, diet and activity with people at times when weight gain is more likely, such as during and after pregnancy, the menopause and while stopping smoking. further, all actions aimed at preventing excess weight gain and improving diet (including reducing energy intake) and activity levels in children and young people should actively involve parents and carers. interventions to improve diet (and reduce energy intake) should be multicomponent (for example, including dietary modification, targeted advice, family involvement and goal setting), be tailored to the individual and provide ongoing support. interventions may include promotional, awareness-raising activities, but these should be part of a long-term, multicomponent intervention rather than one-off activities (and should be accompanied by targeted follow-up with different population groups). prevention; obesity; diet; physical activity balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
511,Nourishing,Clinical Guidance for Obesity Prevention (Update 2015),"Health professionals are expected to fully take into account the Clinical Guidance for Obesity Prevention (CG43), published by National Institute for Health and Care Excellence (NICE) in 2006 and last updated in 2015 (CG189). According to this guidance, all health professionals should discuss weight, diet and activity with people at times when weight gain is more likely, such as during and after pregnancy, the menopause and while stopping smoking. Further, all actions aimed at preventing excess weight gain and improving diet (including reducing energy intake) and activity levels in children and young people should actively involve parents and carers. Interventions to improve diet (and reduce energy intake) should be multicomponent (for example, including dietary modification, targeted advice, family involvement and goal setting), be tailored to the individual and provide ongoing support. Interventions may include promotional, awareness-raising activities, but these should be part of a long-term, multicomponent intervention rather than one-off activities (and should be accompanied by targeted follow-up with different population groups).",prevention; obesity; diet; physical activity,,2006.0,,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Public Authorities,UK |  UK-Wales |,National,NATIONAL INSTITUTE FOR HEALTH AND CARE EXCELLENCE (NICE),https://www.nice.org.uk/guidance/cg43/resources/obesity-prevention-pdf-975445344709,,"clinical guidance for obesity prevention (update 2015) health professionals are expected to fully take into account the clinical guidance for obesity prevention (cg43), published by national institute for health and care excellence (nice) in 2006 and last updated in 2015 (cg189). according to this guidance, all health professionals should discuss weight, diet and activity with people at times when weight gain is more likely, such as during and after pregnancy, the menopause and while stopping smoking. further, all actions aimed at preventing excess weight gain and improving diet (including reducing energy intake) and activity levels in children and young people should actively involve parents and carers. interventions to improve diet (and reduce energy intake) should be multicomponent (for example, including dietary modification, targeted advice, family involvement and goal setting), be tailored to the individual and provide ongoing support. interventions may include promotional, awareness-raising activities, but these should be part of a long-term, multicomponent intervention rather than one-off activities (and should be accompanied by targeted follow-up with different population groups). prevention; obesity; diet; physical activity balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
105,Nourishing,Code of Broadcast Advertising,"CAP broadcast code covers issues including taste, decency and product placement. As well as setting standards about accuracy and honesty businesses must stick to, they also have rules about things like scheduling.",advertisement; teleshopping; claim; media; television; children; food supplements; health; medicines;,,2010.0,2010.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,Media,UK,National,UK Advertising Standards Authority,https://www.asa.org.uk/asset/846F25EB-F474-47C1-AB3FF571E3DB5910.97855BAF-833F-4B75-9E10729E8807C7B8/ |  https://www.asa.org.uk/codes-and-rulings/advertising-codes/broadcast-code.html |  https://www.gov.uk/marketing-advertising-law/advertising-codes-of-practice | ,,"code of broadcast advertising cap broadcast code covers issues including taste, decency and product placement. as well as setting standards about accuracy and honesty businesses must stick to, they also have rules about things like scheduling. advertisement; teleshopping; claim; media; television; children; food supplements; health; medicines; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
49,Nourishing,Code of Excise Tax - tax on non alcoholic beverages,tax on beverages containing added sugar or other sweeteners,disincentive; soda; drink; soft drinks; health; regulation; WHO;,,2017.0,2017.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Fiscal policy,Food industry,Portugal,National,"Portuguese Ministry of Health, Ministry of Finance",https://www.pwc.pt/pt/pwcinforfisco/codigos/ciec.html |  https://www.theguardian.com/society/2016/oct/15/portugal-to-levy-sugar-tax-on-soft-drinks-in-2017 | ,,code of excise tax - tax on non alcoholic beverages tax on beverages containing added sugar or other sweeteners disincentive; soda; drink; soft drinks; health; regulation; who; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
108,Nourishing,Code of Responsible Food Marketing communication to children,"The food, grocery and media and advertising industries have agreed on a voluntary code not to advertise foods with high levels of fat, sugar and salt in media aimed at children.",infant; diet; nutrition; disincentive; media; information; campaign; obesity; overweight;,,2014.0,2014.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Regulation and self-regulation,Media,Denmark,National,Forum of Responsible Food Marketing Communication,https://kodeksforfoedevarereklamer.di.dk/Pages/forside.aspx |  https://kodeksforfoedevarereklamer.di.dk/SiteCollectionDocuments/Code%20with%20guide%20english%20october%202014%20-%20endelig1.pdf | ,,"code of responsible food marketing communication to children the food, grocery and media and advertising industries have agreed on a voluntary code not to advertise foods with high levels of fat, sugar and salt in media aimed at children. infant; diet; nutrition; disincentive; media; information; campaign; obesity; overweight; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
439,SCAR,Codex Alimentarius Hungaricus,National food regulation that contains specific product descriptions.,nutrition; diet;,,,,Food safety,Reduced economic and social burden of food-borne diseases,Consumers,Food and agricultural standards,Food industry,Hungary,National,Hungarian Ministry of Agriculture,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC004452,,codex alimentarius hungaricus national food regulation that contains specific product descriptions. nutrition; diet; food safety reduced economic and social burden of food-borne diseases,True
